label,rank,token,total_attention,count,avg_attention
sadness,1,feel,0.939683735370636,5,0.1879367470741272
sadness,2,gloomy,0.24731452763080597,1,0.24731452763080597
sadness,3,disappointed,0.22208812274038792,4,0.05552203068509698
sadness,4,like,0.1607515662908554,1,0.1607515662908554
sadness,5,extremely,0.11291944980621338,1,0.11291944980621338
sadness,6,get,0.07665852457284927,1,0.07665852457284927
sadness,7,rejected,0.07460927218198776,1,0.07460927218198776
sadness,8,being,0.061324238777160645,1,0.061324238777160645
sadness,9,makes,0.05929854139685631,1,0.05929854139685631
sadness,10,tired,0.05539575219154358,1,0.05539575219154358
sadness,11,life,0.054059695452451706,1,0.054059695452451706
sadness,12,vain,0.05028081312775612,1,0.05028081312775612
sadness,13,when,0.04397878050804138,1,0.04397878050804138
sadness,14,especially,0.03803484886884689,1,0.03803484886884689
sadness,15,doesn,0.026435328647494316,1,0.026435328647494316
joy,1,virtuous,0.39621610194444656,3,0.13207203398148218
joy,2,feel,0.35390882194042206,3,0.11796960731347401
joy,3,feeling,0.3088701665401459,2,0.15443508327007294
joy,4,appreciative,0.11712468322366476,1,0.11712468322366476
joy,5,more,0.11569180339574814,2,0.05784590169787407
joy,6,particularly,0.1052393689751625,1,0.1052393689751625
joy,7,though,0.07349075376987457,1,0.07349075376987457
joy,8,joyful,0.07305280491709709,1,0.07305280491709709
joy,9,also,0.06828875094652176,1,0.06828875094652176
joy,10,entered,0.06723404675722122,1,0.06723404675722122
joy,11,which,0.05601615086197853,1,0.05601615086197853
joy,12,makes,0.05519874393939972,1,0.05519874393939972
joy,13,about,0.0524417869746685,1,0.0524417869746685
joy,14,how,0.04534870386123657,1,0.04534870386123657
joy,15,effacing,0.04094690503552556,1,0.04094690503552556
love,1,feel,0.519461952149868,3,0.173153984049956
love,2,feeling,0.3126160800457001,2,0.15630804002285004
love,3,affectionate,0.2897867187857628,2,0.1448933593928814
love,4,nostalgic,0.19738643616437912,1,0.19738643616437912
love,5,thought,0.13233280554413795,2,0.06616640277206898
love,6,fond,0.1217408999800682,1,0.1217408999800682
love,7,like,0.11905650049448013,2,0.059528250247240067
love,8,still,0.1185324564576149,1,0.1185324564576149
love,9,found,0.11625150591135025,1,0.11625150591135025
love,10,all,0.11336318403482437,1,0.11336318403482437
love,11,toward,0.09894507378339767,1,0.09894507378339767
love,12,myself,0.08698014169931412,1,0.08698014169931412
love,13,romantic,0.08248540014028549,1,0.08248540014028549
love,14,some,0.07467767409980297,3,0.024892558033267658
love,15,just,0.06899828463792801,1,0.06899828463792801
anger,1,feel,0.3767460361123085,3,0.12558201203743616
anger,2,feeling,0.29343514889478683,2,0.14671757444739342
anger,3,cranky,0.2087631355971098,2,0.1043815677985549
anger,4,envious,0.14595994725823402,1,0.14595994725823402
anger,5,just,0.1090892031788826,1,0.1090892031788826
anger,6,didnt,0.08189614675939083,1,0.08189614675939083
anger,7,rather,0.07291695475578308,1,0.07291695475578308
anger,8,angry,0.07214105129241943,1,0.07214105129241943
anger,9,could,0.06985917687416077,1,0.06985917687416077
anger,10,cos,0.06935702636837959,1,0.06935702636837959
anger,11,also,0.05341902747750282,1,0.05341902747750282
anger,12,plain,0.05195330083370209,1,0.05195330083370209
anger,13,because,0.03769666329026222,1,0.03769666329026222
anger,14,unmotivated,0.0376330865547061,1,0.0376330865547061
anger,15,even,0.032493092119693756,1,0.032493092119693756
fear,1,feel,0.8859711587429047,4,0.22149278968572617
fear,2,still,0.27007798850536346,2,0.13503899425268173
fear,3,nervous,0.23161758482456207,2,0.11580879241228104
fear,4,felt,0.12759819626808167,1,0.12759819626808167
fear,5,quite,0.08687233179807663,1,0.08687233179807663
fear,6,about,0.07561998767778277,2,0.03780999383889139
fear,7,reluctant,0.06669436395168304,1,0.06669436395168304
fear,8,feeling,0.06521985679864883,1,0.06521985679864883
fear,9,because,0.062116850167512894,1,0.062116850167512894
fear,10,yet,0.05929042026400566,1,0.05929042026400566
fear,11,frightened,0.05612325668334961,1,0.05612325668334961
fear,12,very,0.05300343409180641,1,0.05300343409180641
fear,13,threatened,0.02894592471420765,1,0.02894592471420765
fear,14,uneasy,0.025388697162270546,1,0.025388697162270546
fear,15,walked,0.022373884916305542,1,0.022373884916305542
surprise,1,feel,0.5906174629926682,4,0.14765436574816704
surprise,2,feeling,0.21839583665132523,2,0.10919791832566261
surprise,3,always,0.2131446897983551,2,0.10657234489917755
surprise,4,like,0.17696817964315414,2,0.08848408982157707
surprise,5,very,0.14281786978244781,1,0.14281786978244781
surprise,6,surprised,0.1261446215212345,2,0.06307231076061726
surprise,7,shocked,0.11650794744491577,2,0.058253973722457886
surprise,8,wasnt,0.09153283853083849,1,0.09153283853083849
surprise,9,little,0.08675292134284973,1,0.08675292134284973
surprise,10,shouldn,0.07019441574811935,1,0.07019441574811935
surprise,11,stunned,0.06858136504888535,1,0.06858136504888535
surprise,12,what,0.05667772889137268,3,0.018892576297124226
surprise,13,how,0.054942820221185684,1,0.054942820221185684
surprise,14,kind,0.05105989798903465,1,0.05105989798903465
surprise,15,type,0.04539905861020088,1,0.04539905861020088
