label,confidence,text,top_tokens,top_scores
sadness,0.73620546,i feel miserable and he doesnt care,"miserable, and, feel, he, i, doesnt, care","1.5438, 0.7382, 0.4936, 0.1308, 0.0852, 0.0644, 0.0315"
sadness,0.7242963,i just feel totally useless today,"useless, totally, just, feel, today, i","0.9692, 0.5700, 0.4599, 0.4537, 0.3481, 0.2774"
sadness,0.7133954,i feel so fucking worthless,"worthless, so, i, fucking, feel","0.9480, 0.7302, 0.3279, 0.3127, 0.2025"
sadness,0.6891132,i feel like i look like a miserable heap,"heap, miserable, a, like, look, i, feel, like","1.1697, 1.0698, 0.9044, 0.4131, 0.3121, 0.2918, 0.2351, 0.1397"
sadness,0.6344245,i feel so guilty for putting my child in daycare,"for, guilty, daycare, i, my, feel, putting, so","0.3979, 0.3895, 0.2436, 0.2386, 0.0815, 0.0607, 0.0340, 0.0336"
joy,0.8534855,i would feel productive,"productive, would, feel, i","1.4670, 0.5745, 0.5453, 0.3472"
joy,0.7977972,i am feeling energized productive and creative,"productive, feeling, creative, and, am, i, energized","1.1051, 0.8540, 0.7081, 0.5515, 0.4988, 0.0604, 0.0306"
joy,0.7973311,i feel perfectly mellow,"perfectly, i, feel, mellow","0.9406, 0.8622, 0.6054, 0.5270"
joy,0.7964557,i need to feel creative and productive,"productive, need, creative, feel, i, and, to","0.8541, 0.6095, 0.6092, 0.3407, 0.2307, 0.2177, 0.0647"
joy,0.7930614,i feel he will be perfect for this event,"perfect, feel, this, will, event, for, he, i","0.4888, 0.4828, 0.3528, 0.3437, 0.2430, 0.2096, 0.1310, 0.0517"
love,0.8179506,i feel affectionate toward him,"affectionate, i, him, feel, toward","2.1627, 0.8431, 0.6873, 0.5597, 0.0727"
love,0.76302683,i feel for my sweet boy,"sweet, feel, for, i, my, boy","1.2447, 0.6282, 0.4898, 0.2049, 0.1575, 0.0795"
love,0.7497641,i feel is he generous,"generous, is, feel, i, he","1.9532, 0.7089, 0.6837, 0.3863, 0.1743"
love,0.7469544,i then feel your tender touch as you enfold me with his love,"tender, love, feel, with, your, me, his, then","0.6769, 0.6293, 0.4026, 0.3556, 0.3512, 0.2557, 0.0847, 0.0795"
love,0.7226878,i feel your prescence a gentle touch,"gentle, feel, a, your, i, touch","1.0254, 0.6439, 0.4767, 0.2111, 0.1675, 0.1389"
anger,0.69349295,i feel pissed off and angry,"angry, and, i, pissed, feel, off","0.7648, 0.6724, 0.5905, 0.5015, 0.1896, 0.1862"
anger,0.62703973,i feel furious with myself,"furious, i, with, myself, feel","1.9627, 0.7255, 0.6563, 0.3706, 0.2103"
anger,0.61700153,im not condoning terrorist action but you feel so furious and powerless,"condoning, not, im, powerless, furious, feel, you, terrorist","0.5100, 0.4446, 0.3943, 0.3402, 0.3360, 0.2977, 0.1103, 0.1060"
anger,0.6134465,i feel insulted pete edochie responds to death,"insulted, to, responds, i, pete, death, feel","0.7745, 0.5970, 0.5747, 0.4623, 0.3242, 0.2549, 0.2205"
anger,0.5885367,i feel so damn agitated,"agitated, i, so, damn, feel","1.7913, 0.7184, 0.5651, 0.2556, 0.2523"
fear,0.68005604,id feel frantic,"frantic, feel, id","1.1514, 0.8270, 0.3244"
fear,0.674762,i am feeling vulnerable nervous worried anxious and a bit lost,"a, nervous, vulnerable, anxious, am, worried, feeling, i","0.7665, 0.6367, 0.4835, 0.4727, 0.4203, 0.2510, 0.2340, 0.1963"
fear,0.64772224,i still feel nervous,"nervous, i, feel, still","1.7852, 1.0087, 0.4734, 0.3032"
fear,0.6012018,i find myself feeling anxious and unsure,"anxious, and, unsure, i, find, myself, feeling","0.7775, 0.7252, 0.6770, 0.6254, 0.3470, 0.3219, 0.1290"
fear,0.57560694,i still wake up feeling suspicious,"suspicious, i, up, wake, feeling, still","0.7620, 0.7442, 0.5015, 0.2777, 0.1697, 0.0363"
surprise,0.5537747,ive blogged and i feel strange about it,"it, i, ive, strange, blogged, feel, about, and","0.5161, 0.3229, 0.2935, 0.2868, 0.2713, 0.2251, 0.1054, 0.0039"
surprise,0.5318548,i am feeling amazing and seeing the difference,"the, feeling, i, amazing, seeing, am, and, difference","0.5363, 0.3052, 0.1722, 0.1423, 0.1198, 0.0910, 0.0669, 0.0167"
surprise,0.46472618,i replied feeling strange at giving the orders,"the, feeling, i, orders, giving, at, strange, replied","0.4631, 0.3244, 0.2757, 0.2085, 0.1277, 0.1179, 0.0784, 0.0029"
surprise,0.45711914,i would look up at the sky scrapers and feel amazed that this little girl from montana was there,"amazed, scrapers, montana, girl, this, at, was, would","0.7966, 0.4055, 0.3795, 0.2948, 0.2677, 0.1765, 0.1581, 0.1350"
surprise,0.4120263,i did a body scan and realized that everything was feeling amazing,"amazing, a, feeling, was, everything, body, scan, and","0.4988, 0.3878, 0.3662, 0.2143, 0.1740, 0.1257, 0.1038, 0.0983"
