model,display_model,epoch,train_loss,val_accuracy,val_macro_f1
glove_mlp,GloVe MLP,1,1.7803341550827025,0.342,0.22224496510200756
glove_mlp,GloVe MLP,2,1.7214643058776855,0.294,0.2648812850441506
glove_mlp,GloVe MLP,3,1.6500213503837586,0.3695,0.31398942938505847
glove_mlp,GloVe MLP,4,1.6033534288406373,0.417,0.34771831836845796
glove_mlp,GloVe MLP,5,1.5700840182304383,0.435,0.36303923871985067
glove_mlp,GloVe MLP,6,1.5464410233497619,0.378,0.3207083867217495
glove_mlp,GloVe MLP,7,1.5261437726020812,0.429,0.37036649495356694
glove_mlp,GloVe MLP,8,1.5050649223327637,0.413,0.3666580488976423
glove_mlp,GloVe MLP,9,1.4872362022399903,0.435,0.3817897324937629
glove_mlp,GloVe MLP,10,1.478622181892395,0.4245,0.38085154728847287
glove_mlp,GloVe MLP,11,1.465785249710083,0.4705,0.3958717865580376
glove_mlp,GloVe MLP,12,1.4542057085037232,0.434,0.38016887235531666
glove_mlp,GloVe MLP,13,1.4452672815322876,0.4325,0.38917586832341655
glove_mlp,GloVe MLP,14,1.4378292021751404,0.4195,0.37262472769979643
glove_mlp,GloVe MLP,15,1.435959993839264,0.4385,0.38384910126565264
lstm,LSTM from scratch,1,1.7487322363853455,0.339,0.3278690882899589
lstm,LSTM from scratch,2,1.3542895834445954,0.561,0.5762354559990186
lstm,LSTM from scratch,3,0.8518697967529297,0.7775,0.762076667880264
lstm,LSTM from scratch,4,0.5642637141942978,0.852,0.8350468990936283
lstm,LSTM from scratch,5,0.3924685582518578,0.8735,0.8573264459251103
lstm,LSTM from scratch,6,0.3159414920806885,0.8945,0.8775138851660683
lstm,LSTM from scratch,7,0.2561271889805794,0.8995,0.8859246700884612
lstm,LSTM from scratch,8,0.2112183237373829,0.9035,0.8806034654638125
distilbert,DistilBERT fine-tune,1,0.6719977291822433,0.93,0.9067719545359997
distilbert,DistilBERT fine-tune,2,0.19513025996973737,0.934,0.9087458008224217
distilbert,DistilBERT fine-tune,3,0.12898949799872936,0.935,0.9121961754143668
